"Title","URL","Status"
"A comprehensive survey of personal knowledge graphs","https://wires.onlinelibrary.wiley.com/doi/10.1002/widm.1513","skipped_paywall"
"https://dl.acm.org/doi/10.1145/3643479.3662055","https://dl.acm.org/doi/10.1145/3643479.3662055","pending"
"https://ieeexplore.ieee.org/document/10924876/","https://ieeexplore.ieee.org/document/10924876/","pending"
"Temporal Knowledge Graph Reasoning Based on Dynamic Fusion Representation Learning","https://onlinelibrary.wiley.com/doi/10.1111/exsy.13758","title_extracted"
"https://ieeexplore.ieee.org/document/10597747/","https://ieeexplore.ieee.org/document/10597747/","pending"
"https://ieeexplore.ieee.org/document/10218032/","https://ieeexplore.ieee.org/document/10218032/","pending"
"https://dl.acm.org/doi/10.1145/3557990.3567586","https://dl.acm.org/doi/10.1145/3557990.3567586","pending"
"Prior knowledge-guided multilevel graph neural network for tumor risk prediction and interpretation via multi-omics data integration","https://academic.oup.com/bib/article/doi/10.1093/bib/bbae184/7658016","title_extracted"
"https://dl.acm.org/doi/10.1145/3653015","https://dl.acm.org/doi/10.1145/3653015","pending"
"Development of a proof-of-concept prototype in a distributed online collaborative learning environment using a student team: A case study","https://journals.sagepub.com/doi/10.1177/03064190231200397","title_extracted"
"https://ejournal.unia.ac.id/index.php/maharot/article/view/1937","https://ejournal.unia.ac.id/index.php/maharot/article/view/1937","pending"
"https://iopscience.iop.org/article/10.1088/1742-6596/2472/1/012040","https://iopscience.iop.org/article/10.1088/1742-6596/2472/1/012040","pending"
"https://onepetro.org/SPEADIP/proceedings/24ADIP/24ADIP/D031S123R003/585414","https://onepetro.org/SPEADIP/proceedings/24ADIP/24ADIP/D031S123R003/585414","pending"
"https://ieeexplore.ieee.org/document/10827363/","https://ieeexplore.ieee.org/document/10827363/","pending"
"Development of a proof-of-concept model for digital technology integration in curriculum: A case of construction management programs in the UK and USA","https://journals.sagepub.com/doi/10.1177/09504222231224090","title_extracted"
"A Lexical Approach for Identifying Behavioral Action Sequences","https://journals.sagepub.com/doi/10.1177/00187208211045167","title_extracted"
"https://www.semanticscholar.org/paper/c9f56d69c76cb5e7a9d803ffcdbf28ee8a46...","https://www.semanticscholar.org/paper/c9f56d69c76cb5e7a9d803ffcdbf28ee8a46...","pending"
"Design of an Overall Software Framework for a Plan Summary Evaluation Model","https://dl.acm.org/doi/10.1145/3700906.3700976","pending"
"Migration of Monolithic to Microservices ...","Truncated URL","pending"
"NTIRE 2022 Challenge on Efficient Super-Resolution: Methods and Results","https://ieeexplore.ieee.org/document/9857089/","pending"
"ASPRINO D'AVERSA VITE MARITATA 2022 - THE BOURBONS","https://www.e-noteca.it/product/27521065/asprino-d-aversa-vite-maritata-2022-i-borboni?lang=en_US","pending"
"NTIRE 2022 Challenge on Perceptual Image Quality Assessment","https://ieeexplore.ieee.org/document/9857130/","pending"
"I Borboni “Vulpis” Asprinio IGP (2022) – Campania - Passione Vino","https://shop.passionevino.co.uk/products/i-borboni-vulpis-asprinio-igp-2022-campania","pending"
"Crowdsensing-based Road Damage Detection Challenge (CRDDC’2022)","https://ieeexplore.ieee.org/document/10021040/","pending"
"NTIRE 2022 Challenge on High Dynamic Range Imaging: Methods and Results","https://ieeexplore.ieee.org/document/9856998/","pending"
"NTIRE 2022 Challenge on Super-Resolution and Quality Enhancement of Compressed Video: Dataset, Methods and Results","https://ieeexplore.ieee.org/document/9857103/","pending"
"SYN-MAD 2022: Competition on Face Morphing Attack Detection Based on Privacy-aware Synthetic Training Data","https://ieeexplore.ieee.org/document/10007950/","pending"
"Multi-Camera Vehicle Tracking System for AI City Challenge 2022","https://ieeexplore.ieee.org/document/9857328/","pending"
"A study on temporal knowledge graph enrichment","https://espace.library.uq.edu.au/view/UQ:c288d0a","pending"
"Knowledge Graph Construction with a Façade: A Unified Method to Access Heterogeneous Data Sources on the Web","https://dl.acm.org/doi/10.1145/3555312","pending"
